probe:18:25:40.09, resp:18:25:36.88, diff:-3.22
probe:18:25:45.09, resp:18:25:41.88, diff:-3.22
probe:18:25:50.09, resp:18:25:46.88, diff:-3.22
probe:18:25:55.09, resp:18:25:51.45, diff:-3.65
probe:18:26:00.09, resp:18:25:56.16, diff:-3.94
probe:18:26:05.09, resp:18:26:00.89, diff:-4.21
probe:18:26:10.09, resp:18:26:05.30, diff:-4.79
probe:18:26:15.09, resp:18:26:09.93, diff:-5.17
probe:18:26:20.09, resp:18:26:14.94, diff:-5.16
probe:18:26:25.09, resp:18:26:19.94, diff:-5.16
probe:18:26:30.09, resp:18:26:24.94, diff:-5.16
probe:18:26:35.09, resp:18:26:29.95, diff:-5.15
probe:18:26:40.09, resp:18:26:34.91, diff:-5.19
probe:18:26:45.09, resp:18:26:39.91, diff:-5.19
probe:18:26:50.09, resp:18:26:44.92, diff:-5.18
probe:18:26:55.09, resp:18:26:49.92, diff:-5.18
probe:18:27:00.09, resp:18:26:54.92, diff:-5.18
probe:18:27:05.09, resp:18:26:59.65, diff:-5.45
probe:18:27:10.09, resp:18:27:04.26, diff:-5.83
probe:18:27:15.09, resp:18:27:09.26, diff:-5.83
probe:18:27:20.09, resp:18:27:14.27, diff:-5.82
probe:18:27:25.09, resp:18:27:19.27, diff:-5.82
probe:18:27:30.09, resp:18:27:24.27, diff:-5.82
probe:18:27:35.09, resp:18:27:29.28, diff:-5.81
probe:18:27:40.09, resp:18:27:34.28, diff:-5.81
probe:18:27:45.09, resp:18:27:39.29, diff:-5.80
probe:18:27:50.09, resp:18:27:44.29, diff:-5.80
probe:18:27:55.09, resp:18:27:49.26, diff:-5.83
probe:18:28:00.09, resp:18:27:54.17, diff:-5.93
probe:18:28:05.09, resp:18:27:59.17, diff:-5.93
probe:18:28:10.09, resp:18:28:04.17, diff:-5.93
probe:18:28:15.09, resp:18:28:09.18, diff:-5.92
probe:18:28:20.09, resp:18:28:14.18, diff:-5.92
probe:18:28:25.09, resp:18:28:19.19, diff:-5.91
probe:18:28:30.09, resp:18:28:24.27, diff:-5.82
probe:18:28:35.09, resp:18:28:29.19, diff:-5.91
probe:18:28:40.09, resp:18:28:34.20, diff:-5.90
probe:18:28:45.09, resp:18:28:39.20, diff:-5.90
probe:18:28:50.09, resp:18:28:44.21, diff:-5.89
probe:18:28:55.09, resp:18:28:49.21, diff:-5.89
probe:18:29:00.09, resp:18:28:54.21, diff:-5.89
probe:18:29:05.09, resp:18:29:05.24, diff:+0.14
