probe:18:25:40.09, resp:18:25:40.19, diff:+0.09
probe:18:25:45.09, resp:18:25:45.19, diff:+0.09
probe:18:25:50.09, resp:18:25:50.19, diff:+0.09
probe:18:25:55.09, resp:18:25:55.20, diff:+0.10
probe:18:26:00.09, resp:18:26:00.20, diff:+0.10
probe:18:26:05.09, resp:18:26:05.20, diff:+0.10
probe:18:26:10.09, resp:18:26:10.21, diff:+0.11
probe:18:26:15.09, resp:18:26:15.21, diff:+0.11
probe:18:26:20.09, resp:18:26:20.21, diff:+0.11
probe:18:26:25.09, resp:18:26:25.22, diff:+0.12
probe:18:26:30.09, resp:18:26:30.22, diff:+0.12
probe:18:26:35.09, resp:18:26:35.23, diff:+0.13
probe:18:26:40.09, resp:18:26:40.23, diff:+0.13
probe:18:26:45.09, resp:18:26:45.23, diff:+0.13
probe:18:26:50.09, resp:18:26:50.24, diff:+0.14
probe:18:26:55.09, resp:18:26:55.24, diff:+0.14
probe:18:27:00.09, resp:18:27:00.24, diff:+0.14
probe:18:27:05.09, resp:18:27:05.25, diff:+0.15
probe:18:27:10.09, resp:18:27:10.25, diff:+0.15
probe:18:27:15.09, resp:18:27:15.25, diff:+0.15
probe:18:27:20.09, resp:18:27:20.23, diff:+0.13
probe:18:27:25.09, resp:18:27:25.23, diff:+0.13
probe:18:27:30.09, resp:18:27:30.23, diff:+0.13
probe:18:27:35.09, resp:18:27:35.24, diff:+0.14
probe:18:27:40.09, resp:18:27:40.24, diff:+0.14
probe:18:27:45.09, resp:18:27:45.24, diff:+0.14
probe:18:27:50.09, resp:18:27:50.25, diff:+0.15
probe:18:27:55.09, resp:18:27:55.25, diff:+0.15
probe:18:28:00.09, resp:18:28:00.25, diff:+0.15
probe:18:28:05.09, resp:18:28:05.25, diff:+0.16
probe:18:28:10.09, resp:18:28:10.25, diff:+0.16
probe:18:28:15.09, resp:18:28:15.25, diff:+0.16
probe:18:28:20.09, resp:18:28:20.26, diff:+0.17
probe:18:28:25.09, resp:18:28:25.26, diff:+0.17
probe:18:28:30.09, resp:18:28:30.26, diff:+0.17
probe:18:28:35.09, resp:18:28:35.27, diff:+0.18
probe:18:28:40.09, resp:18:28:40.27, diff:+0.18
probe:18:28:45.09, resp:18:28:45.27, diff:+0.18
probe:18:28:50.09, resp:18:28:50.28, diff:+0.19
probe:18:28:55.09, resp:18:28:55.28, diff:+0.19
probe:18:29:00.09, resp:18:29:00.28, diff:+0.19
probe:18:29:05.09, resp:18:29:05.29, diff:+0.20
probe:18:29:10.09, resp:18:29:10.29, diff:+0.20
probe:18:29:15.09, resp:18:29:15.29, diff:+0.20
probe:18:29:20.09, resp:18:29:20.30, diff:+0.21
probe:18:29:25.09, resp:18:29:25.30, diff:+0.21
probe:18:29:30.09, resp:18:29:30.30, diff:+0.21
probe:18:29:35.09, resp:18:29:35.31, diff:+0.22
probe:18:29:40.09, resp:18:29:40.31, diff:+0.22
probe:18:29:45.09, resp:18:29:45.31, diff:+0.22
probe:18:29:50.09, resp:18:29:50.32, diff:+0.23
probe:18:29:55.09, resp:18:29:55.30, diff:+0.21
probe:18:30:00.09, resp:18:30:00.30, diff:+0.21
probe:18:30:05.09, resp:18:30:05.31, diff:+0.22
probe:18:30:10.09, resp:18:30:10.31, diff:+0.22
probe:18:30:15.09, resp:18:30:15.27, diff:+0.18
probe:18:30:20.09, resp:18:30:20.28, diff:+0.19
probe:18:30:25.09, resp:18:30:25.28, diff:+0.19
probe:18:30:30.09, resp:18:30:30.28, diff:+0.19
probe:18:30:35.09, resp:18:30:35.29, diff:+0.20
probe:18:30:40.09, resp:18:30:40.29, diff:+0.20
probe:18:30:45.09, resp:18:30:45.29, diff:+0.20
probe:18:30:50.09, resp:18:30:50.30, diff:+0.21
probe:18:30:55.09, resp:18:30:55.30, diff:+0.21
probe:18:31:00.09, resp:18:31:00.30, diff:+0.21
probe:18:31:05.09, resp:18:31:05.31, diff:+0.22
probe:18:31:10.09, resp:18:31:10.31, diff:+0.22
probe:18:31:15.09, resp:18:31:15.31, diff:+0.22
probe:18:31:20.09, resp:18:31:20.32, diff:+0.23
probe:18:31:25.09, resp:18:31:25.32, diff:+0.23
probe:18:31:30.09, resp:18:31:30.32, diff:+0.23
probe:18:31:35.09, resp:18:31:35.33, diff:+0.24
probe:18:31:40.09, resp:18:31:40.33, diff:+0.24
probe:18:31:45.09, resp:18:31:45.34, diff:+0.25
probe:18:31:50.09, resp:18:31:50.34, diff:+0.25
probe:18:31:55.09, resp:18:31:55.34, diff:+0.25
probe:18:32:00.09, resp:18:32:00.35, diff:+0.26
probe:18:32:05.09, resp:18:32:05.35, diff:+0.26
probe:18:32:10.09, resp:18:32:10.35, diff:+0.26
probe:18:32:15.09, resp:18:32:15.36, diff:+0.27
probe:18:32:20.09, resp:18:32:20.36, diff:+0.27
probe:18:32:25.09, resp:18:32:25.36, diff:+0.27
probe:18:32:30.09, resp:18:32:30.38, diff:+0.28
probe:18:32:35.09, resp:18:32:35.34, diff:+0.25
probe:18:32:40.09, resp:18:32:40.34, diff:+0.25
probe:18:32:45.09, resp:18:32:45.35, diff:+0.26
probe:18:32:50.09, resp:18:32:50.35, diff:+0.26
probe:18:32:55.09, resp:18:32:55.35, diff:+0.26
probe:18:33:00.09, resp:18:33:00.36, diff:+0.27
probe:18:33:05.09, resp:18:33:05.36, diff:+0.27
probe:18:33:10.09, resp:18:33:10.36, diff:+0.27
probe:18:33:15.09, resp:18:33:15.38, diff:+0.28
probe:18:33:20.09, resp:18:33:20.38, diff:+0.28
probe:18:33:25.09, resp:18:33:25.38, diff:+0.28
probe:18:33:30.09, resp:18:33:30.38, diff:+0.28
probe:18:33:35.09, resp:18:33:35.39, diff:+0.29
probe:18:33:40.09, resp:18:33:40.39, diff:+0.29
probe:18:33:45.09, resp:18:33:45.39, diff:+0.29
probe:18:33:50.09, resp:18:33:50.40, diff:+0.30
probe:18:33:55.09, resp:18:33:55.40, diff:+0.30
probe:18:34:00.09, resp:18:34:00.40, diff:+0.30
probe:18:34:05.09, resp:18:34:05.41, diff:+0.31
probe:18:34:10.09, resp:18:34:10.41, diff:+0.31
probe:18:34:15.09, resp:18:34:15.41, diff:+0.31
probe:18:34:20.09, resp:18:34:20.39, diff:+0.29
probe:18:34:25.09, resp:18:34:25.35, diff:+0.26
probe:18:34:30.09, resp:18:34:30.34, diff:+0.25
probe:18:34:35.09, resp:18:34:35.34, diff:+0.25
probe:18:34:40.09, resp:18:34:40.34, diff:+0.25
probe:18:34:45.09, resp:18:34:45.35, diff:+0.26
probe:18:34:50.09, resp:18:34:50.35, diff:+0.26
probe:18:34:55.09, resp:18:34:55.35, diff:+0.26
probe:18:35:00.09, resp:18:35:00.36, diff:+0.27
probe:18:35:05.09, resp:18:35:05.36, diff:+0.27
probe:18:35:10.09, resp:18:35:10.38, diff:+0.28
probe:18:35:15.09, resp:18:35:15.38, diff:+0.28
probe:18:35:20.09, resp:18:35:20.38, diff:+0.28
probe:18:35:25.09, resp:18:35:25.38, diff:+0.28
probe:18:35:30.09, resp:18:35:30.39, diff:+0.29
probe:18:35:35.09, resp:18:35:35.39, diff:+0.29
probe:18:35:40.09, resp:18:35:40.39, diff:+0.29
probe:18:35:45.09, resp:18:35:45.40, diff:+0.30
probe:18:35:50.09, resp:18:35:50.40, diff:+0.30
probe:18:35:55.09, resp:18:35:55.40, diff:+0.30
probe:18:36:00.09, resp:18:36:00.41, diff:+0.31
probe:18:36:05.09, resp:18:36:05.41, diff:+0.31
probe:18:36:10.09, resp:18:36:10.41, diff:+0.31
probe:18:36:15.09, resp:18:36:15.42, diff:+0.32
probe:18:36:20.09, resp:18:36:20.42, diff:+0.32
probe:18:36:25.09, resp:18:36:25.43, diff:+0.33
probe:18:36:30.09, resp:18:36:30.42, diff:+0.32
probe:18:36:35.09, resp:18:36:35.43, diff:+0.33
probe:18:36:40.09, resp:18:36:40.43, diff:+0.33
probe:18:36:45.09, resp:18:36:45.43, diff:+0.33
probe:18:36:50.09, resp:18:36:50.44, diff:+0.34
probe:18:36:55.09, resp:18:36:55.44, diff:+0.34
probe:18:37:00.09, resp:18:37:00.44, diff:+0.34
probe:18:37:05.09, resp:18:37:05.45, diff:+0.35
probe:18:37:10.09, resp:18:37:10.45, diff:+0.35
probe:18:37:15.09, resp:18:37:15.46, diff:+0.36
probe:18:37:20.09, resp:18:37:20.46, diff:+0.36
probe:18:37:25.09, resp:18:37:25.47, diff:+0.37
probe:18:37:30.09, resp:18:37:30.47, diff:+0.37
probe:18:37:35.09, resp:18:37:35.44, diff:+0.34
probe:18:37:40.09, resp:18:37:40.44, diff:+0.34
probe:18:37:45.09, resp:18:37:45.44, diff:+0.34
probe:18:37:50.09, resp:18:37:50.45, diff:+0.35
probe:18:37:55.09, resp:18:37:55.45, diff:+0.35
probe:18:38:00.09, resp:18:38:00.46, diff:+0.36
probe:18:38:05.09, resp:18:38:05.46, diff:+0.36
probe:18:38:10.09, resp:18:38:10.46, diff:+0.36
probe:18:38:15.09, resp:18:38:15.47, diff:+0.37
probe:18:38:20.09, resp:18:38:20.47, diff:+0.37
probe:18:38:25.09, resp:18:38:25.47, diff:+0.37
probe:18:38:30.09, resp:18:38:30.48, diff:+0.38
probe:18:38:35.09, resp:18:38:35.48, diff:+0.38
probe:18:38:40.09, resp:18:38:40.48, diff:+0.38
probe:18:38:45.09, resp:18:38:45.49, diff:+0.39
probe:18:38:50.09, resp:18:38:50.49, diff:+0.39
probe:18:38:55.09, resp:18:38:55.49, diff:+0.39
probe:18:39:00.09, resp:18:39:00.50, diff:+0.40
probe:18:39:05.09, resp:18:39:05.50, diff:+0.40
probe:18:39:10.09, resp:18:39:10.50, diff:+0.40
probe:18:39:15.09, resp:18:39:15.50, diff:+0.41
probe:18:39:20.09, resp:18:39:20.50, diff:+0.41
probe:18:39:25.09, resp:18:39:25.50, diff:+0.41
probe:18:39:30.09, resp:18:39:30.51, diff:+0.42
probe:18:39:35.09, resp:18:39:35.51, diff:+0.42
probe:18:39:40.09, resp:18:39:40.51, diff:+0.42
probe:18:39:45.09, resp:18:39:45.52, diff:+0.43
probe:18:39:50.09, resp:18:39:50.52, diff:+0.43
probe:18:39:55.09, resp:18:39:55.52, diff:+0.43
probe:18:40:00.09, resp:18:40:00.53, diff:+0.44
probe:18:40:05.09, resp:18:40:05.53, diff:+0.44
probe:18:40:10.09, resp:18:40:10.53, diff:+0.44
probe:18:40:15.09, resp:18:40:15.54, diff:+0.45
probe:18:40:20.09, resp:18:40:20.54, diff:+0.45
probe:18:40:25.09, resp:18:40:25.55, diff:+0.46
probe:18:40:30.09, resp:18:40:30.55, diff:+0.46
probe:18:40:35.09, resp:18:40:35.55, diff:+0.46
probe:18:40:40.09, resp:18:40:40.56, diff:+0.47
probe:18:40:45.09, resp:18:40:45.56, diff:+0.47
probe:18:40:50.09, resp:18:40:50.56, diff:+0.47
probe:18:40:55.09, resp:18:40:55.57, diff:+0.48
probe:18:41:00.09, resp:18:41:00.57, diff:+0.48
probe:18:41:05.09, resp:18:41:05.57, diff:+0.48
probe:18:41:10.09, resp:18:41:10.58, diff:+0.49
