probe:18:05:00.09, resp:18:04:59.75, diff:-0.35
probe:18:05:05.09, resp:18:05:04.74, diff:-0.36
probe:18:05:10.09, resp:18:05:09.74, diff:-0.36
probe:18:05:15.09, resp:18:05:14.74, diff:-0.36
probe:18:05:20.09, resp:18:05:19.73, diff:-0.37
probe:18:05:25.09, resp:18:05:24.73, diff:-0.37
probe:18:05:30.09, resp:18:05:29.72, diff:-0.38
probe:18:05:35.09, resp:18:05:34.72, diff:-0.38
probe:18:05:40.09, resp:18:05:39.72, diff:-0.38
probe:18:05:45.09, resp:18:05:44.71, diff:-0.39
probe:18:05:50.10, resp:18:05:49.71, diff:-0.40
probe:18:05:55.10, resp:18:05:54.71, diff:-0.40
probe:18:06:00.10, resp:18:05:59.70, diff:-0.41
probe:18:06:10.09, resp:18:06:09.69, diff:-0.41
probe:18:06:15.09, resp:18:06:14.69, diff:-0.41
probe:18:06:20.09, resp:18:06:19.69, diff:-0.41
probe:18:06:25.09, resp:18:06:24.68, diff:-0.42
probe:18:06:30.09, resp:18:06:29.68, diff:-0.42
probe:18:06:35.09, resp:18:06:34.68, diff:-0.42
probe:18:06:40.09, resp:18:06:39.67, diff:-0.43
probe:18:06:45.09, resp:18:06:44.67, diff:-0.43
probe:18:06:50.10, resp:18:06:49.66, diff:-0.45
probe:18:06:55.10, resp:18:06:54.66, diff:-0.45
probe:18:07:00.10, resp:18:06:59.66, diff:-0.45
probe:18:07:05.10, resp:18:07:04.65, diff:-0.46
probe:18:07:10.10, resp:18:07:09.65, diff:-0.46
probe:18:07:15.10, resp:18:07:14.65, diff:-0.46
probe:18:07:20.10, resp:18:07:19.64, diff:-0.47
probe:18:07:25.10, resp:18:07:24.64, diff:-0.47
probe:18:07:30.10, resp:18:07:29.64, diff:-0.47
probe:18:07:35.10, resp:18:07:34.63, diff:-0.48
