probe:18:31:20.09, resp:18:31:20.43, diff:+0.33
probe:18:31:25.09, resp:18:31:25.43, diff:+0.33
probe:18:31:30.09, resp:18:31:30.44, diff:+0.34
probe:18:31:35.09, resp:18:31:35.44, diff:+0.34
probe:18:31:40.09, resp:18:31:40.45, diff:+0.35
probe:18:31:45.09, resp:18:31:45.45, diff:+0.35
probe:18:31:50.09, resp:18:31:50.45, diff:+0.35
probe:18:31:55.09, resp:18:31:55.46, diff:+0.36
probe:18:32:00.09, resp:18:32:00.46, diff:+0.36
probe:18:32:05.09, resp:18:32:05.46, diff:+0.36
probe:18:32:10.09, resp:18:32:10.47, diff:+0.37
probe:18:32:15.09, resp:18:32:15.38, diff:+0.28
probe:18:32:20.09, resp:18:32:20.38, diff:+0.28
probe:18:32:25.09, resp:18:32:25.39, diff:+0.29
probe:18:32:30.09, resp:18:32:30.39, diff:+0.29
probe:18:32:35.09, resp:18:32:35.40, diff:+0.30
probe:18:32:40.09, resp:18:32:40.40, diff:+0.30
probe:18:32:45.09, resp:18:32:45.41, diff:+0.31
probe:18:32:50.09, resp:18:32:50.41, diff:+0.31
probe:18:32:55.09, resp:18:32:55.41, diff:+0.31
probe:18:33:00.09, resp:18:33:00.42, diff:+0.32
probe:18:33:05.09, resp:18:33:05.42, diff:+0.32
probe:18:33:10.09, resp:18:33:10.42, diff:+0.32
probe:18:33:15.09, resp:18:33:15.43, diff:+0.33
probe:18:33:20.09, resp:18:33:20.43, diff:+0.33
probe:18:33:25.09, resp:18:33:25.43, diff:+0.33
probe:18:33:30.09, resp:18:33:30.44, diff:+0.34
probe:18:33:35.09, resp:18:33:35.44, diff:+0.34
probe:18:33:40.09, resp:18:33:40.45, diff:+0.35
probe:18:33:45.09, resp:18:33:45.45, diff:+0.35
probe:18:33:50.09, resp:18:33:50.46, diff:+0.36
probe:18:33:55.09, resp:18:33:55.46, diff:+0.36
probe:18:34:00.09, resp:18:34:00.46, diff:+0.36
probe:18:34:05.09, resp:18:34:05.47, diff:+0.37
probe:18:34:10.09, resp:18:34:10.47, diff:+0.37
probe:18:34:15.09, resp:18:34:15.48, diff:+0.38
probe:18:34:20.09, resp:18:34:20.48, diff:+0.38
probe:18:34:25.09, resp:18:34:25.48, diff:+0.38
probe:18:34:30.09, resp:18:34:30.49, diff:+0.39
probe:18:34:35.09, resp:18:34:35.49, diff:+0.39
probe:18:34:40.09, resp:18:34:40.49, diff:+0.39
probe:18:34:45.09, resp:18:34:45.50, diff:+0.40
probe:18:34:50.09, resp:18:34:50.50, diff:+0.40
probe:18:34:55.09, resp:18:34:55.50, diff:+0.41
probe:18:35:00.09, resp:18:35:00.50, diff:+0.41
probe:18:35:05.09, resp:18:35:05.51, diff:+0.42
probe:18:35:10.09, resp:18:35:10.51, diff:+0.42
probe:18:35:15.09, resp:18:35:15.51, diff:+0.42
probe:18:35:20.09, resp:18:35:20.52, diff:+0.43
probe:18:35:25.09, resp:18:35:25.52, diff:+0.43
probe:18:35:30.09, resp:18:35:30.52, diff:+0.43
probe:18:35:35.09, resp:18:35:35.53, diff:+0.44
probe:18:35:40.09, resp:18:35:40.53, diff:+0.44
probe:18:35:45.09, resp:18:35:45.54, diff:+0.45
probe:18:35:50.09, resp:18:35:50.54, diff:+0.45
probe:18:35:55.09, resp:18:35:55.55, diff:+0.46
probe:18:36:00.09, resp:18:36:00.55, diff:+0.46
probe:18:36:05.09, resp:18:36:05.55, diff:+0.46
probe:18:36:10.09, resp:18:36:10.56, diff:+0.47
probe:18:36:15.09, resp:18:36:15.56, diff:+0.47
probe:18:36:20.09, resp:18:36:20.57, diff:+0.48
probe:18:36:25.09, resp:18:36:25.57, diff:+0.48
probe:18:36:30.09, resp:18:36:30.57, diff:+0.48
probe:18:36:35.09, resp:18:36:35.58, diff:+0.49
probe:18:36:40.09, resp:18:36:40.58, diff:+0.49
probe:18:36:45.09, resp:18:36:45.58, diff:+0.49
probe:18:36:50.09, resp:18:36:50.59, diff:+0.50
probe:18:36:55.09, resp:18:36:55.59, diff:+0.50
probe:18:37:00.09, resp:18:37:00.60, diff:+0.51
probe:18:37:05.09, resp:18:37:05.60, diff:+0.51
probe:18:37:10.09, resp:18:37:10.61, diff:+0.52
probe:18:37:15.09, resp:18:37:15.61, diff:+0.52
probe:18:37:20.09, resp:18:37:20.61, diff:+0.52
probe:18:37:25.09, resp:18:37:25.63, diff:+0.53
probe:18:37:30.09, resp:18:37:30.63, diff:+0.53
probe:18:37:35.09, resp:18:37:35.63, diff:+0.53
probe:18:37:40.09, resp:18:37:40.64, diff:+0.54
probe:18:37:45.09, resp:18:37:45.64, diff:+0.54
probe:18:37:50.09, resp:18:37:50.65, diff:+0.55
probe:18:37:55.09, resp:18:37:55.65, diff:+0.55
probe:18:38:00.09, resp:18:38:00.65, diff:+0.55
probe:18:38:05.09, resp:18:38:05.66, diff:+0.56
probe:18:38:10.09, resp:18:38:10.66, diff:+0.56
probe:18:38:15.09, resp:18:38:15.67, diff:+0.57
probe:18:38:20.09, resp:18:38:20.67, diff:+0.57
probe:18:38:25.09, resp:18:38:25.67, diff:+0.57
probe:18:38:30.09, resp:18:38:30.68, diff:+0.58
probe:18:38:35.09, resp:18:38:35.68, diff:+0.58
probe:18:38:40.09, resp:18:38:40.69, diff:+0.59
probe:18:38:45.09, resp:18:38:45.69, diff:+0.59
probe:18:38:50.09, resp:18:38:50.70, diff:+0.60
probe:18:38:55.09, resp:18:38:55.70, diff:+0.60
probe:18:39:00.09, resp:18:39:00.71, diff:+0.61
probe:18:39:05.09, resp:18:39:05.71, diff:+0.61
probe:18:39:10.09, resp:18:39:10.71, diff:+0.61
probe:18:39:15.09, resp:18:39:15.72, diff:+0.62
probe:18:39:20.09, resp:18:39:20.72, diff:+0.62
probe:18:39:25.09, resp:18:39:25.72, diff:+0.62
probe:18:39:30.09, resp:18:39:30.73, diff:+0.63
probe:18:39:35.09, resp:18:39:35.73, diff:+0.63
probe:18:39:40.09, resp:18:39:40.74, diff:+0.64
probe:18:39:45.09, resp:18:39:45.74, diff:+0.64
probe:18:39:50.09, resp:18:39:50.74, diff:+0.64
probe:18:39:55.09, resp:18:39:55.75, diff:+0.65
probe:18:40:00.09, resp:18:40:00.75, diff:+0.65
probe:18:40:05.09, resp:18:40:05.75, diff:+0.65
probe:18:40:10.09, resp:18:40:10.75, diff:+0.66
probe:18:40:15.09, resp:18:40:15.75, diff:+0.66
probe:18:40:20.09, resp:18:40:20.76, diff:+0.67
probe:18:40:25.09, resp:18:40:25.76, diff:+0.67
probe:18:40:30.09, resp:18:40:30.76, diff:+0.67
probe:18:40:35.09, resp:18:40:35.77, diff:+0.68
probe:18:40:40.09, resp:18:40:40.77, diff:+0.68
probe:18:40:45.09, resp:18:40:45.78, diff:+0.69
probe:18:40:55.09, resp:18:40:55.78, diff:+0.69
probe:18:41:00.09, resp:18:41:00.79, diff:+0.70
probe:18:41:05.09, resp:18:41:05.79, diff:+0.70
probe:18:41:10.09, resp:18:41:10.80, diff:+0.71
probe:18:41:15.09, resp:18:41:15.80, diff:+0.71
probe:18:41:20.09, resp:18:41:20.80, diff:+0.71
probe:18:41:25.09, resp:18:41:25.81, diff:+0.72
probe:18:41:30.09, resp:18:41:30.81, diff:+0.72
probe:18:41:35.09, resp:18:41:35.82, diff:+0.73
probe:18:41:40.09, resp:18:41:40.82, diff:+0.73
probe:18:41:45.09, resp:18:41:45.82, diff:+0.73
probe:18:41:50.09, resp:18:41:50.83, diff:+0.74
probe:18:41:55.09, resp:18:41:55.83, diff:+0.74
probe:18:42:00.09, resp:18:42:00.84, diff:+0.75
probe:18:42:05.09, resp:18:42:05.84, diff:+0.75
probe:18:42:10.09, resp:18:42:10.84, diff:+0.75
probe:18:42:15.09, resp:18:42:15.85, diff:+0.76
probe:18:42:20.09, resp:18:42:20.85, diff:+0.76
probe:18:42:25.09, resp:18:42:25.86, diff:+0.77
probe:18:42:30.09, resp:18:42:30.86, diff:+0.77
probe:18:42:35.09, resp:18:42:35.88, diff:+0.78
probe:18:42:40.09, resp:18:42:40.88, diff:+0.78
probe:18:42:45.09, resp:18:42:45.88, diff:+0.78
probe:18:42:50.09, resp:18:42:50.89, diff:+0.79
probe:18:42:55.09, resp:18:42:55.89, diff:+0.79
probe:18:43:00.09, resp:18:43:00.89, diff:+0.79
probe:18:43:05.09, resp:18:43:05.90, diff:+0.80
probe:18:43:10.09, resp:18:43:10.90, diff:+0.80
probe:18:43:15.09, resp:18:43:15.91, diff:+0.81
probe:18:43:20.09, resp:18:43:20.91, diff:+0.81
probe:18:43:25.09, resp:18:43:25.92, diff:+0.82
probe:18:43:30.09, resp:18:43:30.92, diff:+0.82
probe:18:43:35.09, resp:18:43:35.92, diff:+0.82
probe:18:43:40.09, resp:18:43:40.93, diff:+0.83
probe:18:43:45.09, resp:18:43:45.93, diff:+0.83
probe:18:43:50.09, resp:18:43:50.93, diff:+0.83
probe:18:43:55.09, resp:18:43:55.94, diff:+0.84
probe:18:44:00.09, resp:18:44:00.94, diff:+0.84
probe:18:44:05.09, resp:18:44:05.94, diff:+0.84
probe:18:44:10.09, resp:18:44:10.95, diff:+0.85
probe:18:44:15.09, resp:18:44:15.95, diff:+0.85
probe:18:44:20.09, resp:18:44:20.96, diff:+0.86
probe:18:44:25.09, resp:18:44:25.96, diff:+0.86
probe:18:44:30.09, resp:18:44:30.96, diff:+0.86
probe:18:44:35.09, resp:18:44:35.97, diff:+0.87
probe:18:44:40.09, resp:18:44:40.97, diff:+0.87
probe:18:44:45.09, resp:18:44:45.97, diff:+0.87
probe:18:44:50.09, resp:18:44:50.98, diff:+0.88
probe:18:44:55.09, resp:18:44:55.98, diff:+0.88
probe:18:45:00.09, resp:18:45:00.99, diff:+0.89
probe:18:45:05.09, resp:18:45:05.99, diff:+0.89
probe:18:45:10.09, resp:18:45:10.99, diff:+0.89
probe:18:45:15.09, resp:18:45:16.00, diff:+0.90
probe:18:45:20.09, resp:18:45:21.00, diff:+0.90
probe:18:45:25.09, resp:18:45:26.00, diff:+0.91
probe:18:45:30.09, resp:18:45:31.00, diff:+0.91
probe:18:45:35.09, resp:18:45:36.00, diff:+0.91
probe:18:45:40.09, resp:18:45:41.01, diff:+0.92
probe:18:45:45.09, resp:18:45:46.02, diff:+0.93
probe:18:45:50.09, resp:18:45:51.02, diff:+0.93
probe:18:45:55.09, resp:18:45:56.02, diff:+0.93
probe:18:46:00.09, resp:18:46:01.03, diff:+0.94
probe:18:46:05.09, resp:18:46:06.03, diff:+0.94
probe:18:46:10.09, resp:18:46:11.03, diff:+0.94
probe:18:46:15.09, resp:18:46:16.04, diff:+0.95
probe:18:46:20.09, resp:18:46:21.04, diff:+0.95
probe:18:46:25.09, resp:18:46:26.05, diff:+0.96
probe:18:46:30.09, resp:18:46:31.05, diff:+0.96
probe:18:46:35.09, resp:18:46:36.05, diff:+0.96
probe:18:46:40.09, resp:18:46:41.06, diff:+0.97
probe:18:46:45.09, resp:18:46:46.06, diff:+0.97
probe:18:46:50.09, resp:18:46:51.06, diff:+0.97
probe:18:46:55.09, resp:18:46:56.07, diff:+0.98
probe:18:47:00.09, resp:18:47:01.07, diff:+0.98
probe:18:47:05.09, resp:18:47:06.08, diff:+0.99
probe:18:47:10.09, resp:18:47:18.48, diff:+8.38
probe:18:47:15.09, resp:18:47:18.48, diff:+3.38
probe:18:47:20.09, resp:18:47:21.09, diff:+1.00
probe:18:47:25.09, resp:18:47:26.09, diff:+1.00
probe:18:47:30.09, resp:18:47:31.10, diff:+1.01
probe:18:47:35.09, resp:18:47:36.10, diff:+1.01
probe:18:47:40.09, resp:18:47:41.10, diff:+1.01
probe:18:47:45.09, resp:18:47:46.11, diff:+1.02
probe:18:47:50.09, resp:18:47:51.11, diff:+1.02
probe:18:47:55.09, resp:18:47:56.11, diff:+1.02
probe:18:48:00.09, resp:18:48:01.13, diff:+1.03
probe:18:48:05.09, resp:18:48:06.13, diff:+1.03
probe:18:48:10.09, resp:18:48:11.14, diff:+1.04
probe:18:48:15.09, resp:18:48:22.53, diff:+7.44
probe:18:48:20.09, resp:18:48:22.53, diff:+2.44
probe:18:48:25.09, resp:18:48:26.15, diff:+1.05
probe:18:48:30.09, resp:18:48:31.15, diff:+1.05
probe:18:48:35.09, resp:18:48:36.16, diff:+1.06
probe:18:48:40.09, resp:18:48:41.16, diff:+1.06
probe:18:48:45.09, resp:18:48:46.17, diff:+1.07
probe:18:48:50.09, resp:18:48:51.17, diff:+1.07
probe:18:48:55.09, resp:18:48:56.17, diff:+1.07
probe:18:49:00.09, resp:18:49:01.18, diff:+1.08
probe:18:49:05.09, resp:18:49:06.18, diff:+1.08
probe:18:49:10.09, resp:18:49:11.18, diff:+1.08
probe:18:49:15.09, resp:18:49:16.19, diff:+1.09
probe:18:49:20.09, resp:18:49:21.20, diff:+1.10
probe:18:49:25.09, resp:18:49:26.20, diff:+1.10
probe:18:49:30.09, resp:18:49:31.20, diff:+1.10
probe:18:49:35.09, resp:18:49:36.20, diff:+1.10
probe:18:49:40.09, resp:18:49:41.21, diff:+1.11
probe:18:49:45.09, resp:18:49:46.21, diff:+1.11
probe:18:49:50.09, resp:18:49:51.22, diff:+1.12
probe:18:49:55.09, resp:18:49:56.22, diff:+1.12
probe:18:50:00.09, resp:18:50:01.22, diff:+1.12
probe:18:50:05.09, resp:18:50:06.23, diff:+1.13
probe:18:50:10.09, resp:18:50:11.23, diff:+1.13
