probe:18:45:10.09, resp:18:45:09.65, diff:-0.45
probe:18:45:15.09, resp:18:45:14.66, diff:-0.44
probe:18:45:20.09, resp:18:45:19.66, diff:-0.44
probe:18:45:25.09, resp:18:45:24.67, diff:-0.43
probe:18:45:30.09, resp:18:45:29.68, diff:-0.42
probe:18:45:35.09, resp:18:45:34.69, diff:-0.41
probe:18:45:40.09, resp:18:45:39.70, diff:-0.40
probe:18:45:45.09, resp:18:45:44.70, diff:-0.40
probe:18:45:50.09, resp:18:45:49.71, diff:-0.39
probe:18:45:55.09, resp:18:45:54.72, diff:-0.38
probe:18:46:00.09, resp:18:45:59.73, diff:-0.37
probe:18:46:05.09, resp:18:46:04.73, diff:-0.37
probe:18:46:10.09, resp:18:46:09.74, diff:-0.36
probe:18:46:15.09, resp:18:46:14.75, diff:-0.35
probe:18:46:20.09, resp:18:46:19.75, diff:-0.34
probe:18:46:25.09, resp:18:46:24.76, diff:-0.33
probe:18:46:30.09, resp:18:46:29.76, diff:-0.33
probe:18:46:35.09, resp:18:46:34.77, diff:-0.32
probe:18:46:40.09, resp:18:46:39.78, diff:-0.31
probe:18:46:45.09, resp:18:46:44.79, diff:-0.30
probe:18:46:50.09, resp:18:46:49.79, diff:-0.30
probe:18:46:55.09, resp:18:46:54.80, diff:-0.29
probe:18:47:00.09, resp:18:46:59.81, diff:-0.28
probe:18:47:05.09, resp:18:47:04.82, diff:-0.27
probe:18:47:10.09, resp:18:47:09.82, diff:-0.27
probe:18:47:15.09, resp:18:47:14.83, diff:-0.26
probe:18:47:20.09, resp:18:47:19.84, diff:-0.25
probe:18:47:25.09, resp:18:47:24.85, diff:-0.24
probe:18:47:30.09, resp:18:47:29.86, diff:-0.23
probe:18:47:35.09, resp:18:47:34.86, diff:-0.23
probe:18:47:40.09, resp:18:47:39.88, diff:-0.22
probe:18:47:45.09, resp:18:47:44.89, diff:-0.21
probe:18:47:50.09, resp:18:47:49.89, diff:-0.21
probe:18:47:55.09, resp:18:47:54.90, diff:-0.20
probe:18:48:00.09, resp:18:47:59.91, diff:-0.19
probe:18:48:05.09, resp:18:48:04.92, diff:-0.18
probe:18:48:10.09, resp:18:48:09.92, diff:-0.18
probe:18:48:15.09, resp:18:48:14.93, diff:-0.17
probe:18:48:20.09, resp:18:48:19.94, diff:-0.16
probe:18:48:25.09, resp:18:48:24.95, diff:-0.15
probe:18:48:30.09, resp:18:48:29.96, diff:-0.14
probe:18:48:35.09, resp:18:48:34.97, diff:-0.13
probe:18:48:40.09, resp:18:48:39.97, diff:-0.13
probe:18:48:45.09, resp:18:48:44.98, diff:-0.12
probe:18:48:50.09, resp:18:48:49.99, diff:-0.11
probe:18:48:55.09, resp:18:48:54.99, diff:-0.11
probe:18:49:00.09, resp:18:49:00.00, diff:-0.10
probe:18:49:05.09, resp:18:49:05.00, diff:-0.09
probe:18:49:10.09, resp:18:49:10.01, diff:-0.08
probe:18:49:15.09, resp:18:49:15.02, diff:-0.07
probe:18:49:20.09, resp:18:49:20.03, diff:-0.06
probe:18:49:25.09, resp:18:49:25.03, diff:-0.06
probe:18:49:30.09, resp:18:49:30.04, diff:-0.05
probe:18:49:35.09, resp:18:49:35.05, diff:-0.04
probe:18:49:40.09, resp:18:49:40.06, diff:-0.03
probe:18:49:45.09, resp:18:49:45.06, diff:-0.03
probe:18:49:50.09, resp:18:49:50.07, diff:-0.02
probe:18:49:55.09, resp:18:49:55.08, diff:-0.01
probe:18:50:00.09, resp:18:50:00.08, diff:-0.01
probe:18:50:05.09, resp:18:50:05.09, diff:+0.00
probe:18:50:10.09, resp:18:50:10.10, diff:+0.01
probe:18:50:15.09, resp:18:50:15.11, diff:+0.02
probe:18:50:20.09, resp:18:50:20.11, diff:+0.02
probe:18:50:25.09, resp:18:50:25.13, diff:+0.03
probe:18:50:30.09, resp:18:50:30.14, diff:+0.04
probe:18:50:35.09, resp:18:50:35.15, diff:+0.05
probe:18:50:40.09, resp:18:50:40.16, diff:+0.06
probe:18:50:45.09, resp:18:50:45.16, diff:+0.06
probe:18:50:50.09, resp:18:50:50.17, diff:+0.07
probe:18:50:55.09, resp:18:50:55.18, diff:+0.08
probe:18:51:00.09, resp:18:51:00.19, diff:+0.09
probe:18:51:05.09, resp:18:51:05.20, diff:+0.10
probe:18:51:10.09, resp:18:51:10.20, diff:+0.10
probe:18:51:15.09, resp:18:51:15.21, diff:+0.11
probe:18:51:20.09, resp:18:51:20.22, diff:+0.12
probe:18:51:25.09, resp:18:51:25.22, diff:+0.12
probe:18:51:30.09, resp:18:51:30.23, diff:+0.13
probe:18:51:35.09, resp:18:51:35.24, diff:+0.14
probe:18:51:40.09, resp:18:51:40.24, diff:+0.14
probe:18:51:45.09, resp:18:51:45.25, diff:+0.15
probe:18:51:50.09, resp:18:51:50.25, diff:+0.16
probe:18:51:55.09, resp:18:51:55.25, diff:+0.16
probe:18:52:00.09, resp:18:52:00.26, diff:+0.17
probe:18:52:10.09, resp:18:52:10.27, diff:+0.18
probe:18:52:15.09, resp:18:52:15.28, diff:+0.19
probe:18:52:20.09, resp:18:52:20.29, diff:+0.20
probe:18:52:25.09, resp:18:52:25.29, diff:+0.20
probe:18:52:30.09, resp:18:52:30.30, diff:+0.21
probe:18:52:35.09, resp:18:52:35.31, diff:+0.22
probe:18:52:40.09, resp:18:52:40.31, diff:+0.22
probe:18:52:45.09, resp:18:52:45.32, diff:+0.23
probe:18:52:50.09, resp:18:52:50.33, diff:+0.24
probe:18:52:55.09, resp:18:52:55.33, diff:+0.24
probe:18:53:00.09, resp:18:53:00.34, diff:+0.25
probe:18:53:05.09, resp:18:53:05.34, diff:+0.25
probe:18:53:10.09, resp:18:53:10.35, diff:+0.26
probe:18:53:15.09, resp:18:53:15.36, diff:+0.27
probe:18:53:20.09, resp:18:53:20.36, diff:+0.27
probe:18:53:25.09, resp:18:53:25.38, diff:+0.28
probe:18:53:30.09, resp:18:53:30.39, diff:+0.29
probe:18:53:35.09, resp:18:53:35.39, diff:+0.29
probe:18:53:40.09, resp:18:53:40.40, diff:+0.30
probe:18:53:45.09, resp:18:53:45.41, diff:+0.31
probe:18:53:50.09, resp:18:53:50.41, diff:+0.31
probe:18:53:55.09, resp:18:53:55.42, diff:+0.32
probe:18:54:00.09, resp:18:54:00.43, diff:+0.33
probe:18:54:05.09, resp:18:54:05.43, diff:+0.33
probe:18:54:10.09, resp:18:54:10.44, diff:+0.34
probe:18:54:15.09, resp:18:54:15.45, diff:+0.35
probe:18:54:20.09, resp:18:54:20.45, diff:+0.35
probe:18:54:25.09, resp:18:54:25.46, diff:+0.36
probe:18:54:30.09, resp:18:54:30.47, diff:+0.37
probe:18:54:35.09, resp:18:54:35.48, diff:+0.38
probe:18:54:40.09, resp:18:54:40.48, diff:+0.38
probe:18:54:45.09, resp:18:54:45.49, diff:+0.39
probe:18:54:50.09, resp:18:54:50.50, diff:+0.40
probe:18:54:55.09, resp:18:54:55.50, diff:+0.40
probe:18:55:00.09, resp:18:55:00.50, diff:+0.41
probe:18:55:05.09, resp:18:55:05.51, diff:+0.42
probe:18:55:10.09, resp:18:55:10.52, diff:+0.43
probe:18:55:15.09, resp:18:55:15.52, diff:+0.43
probe:18:55:20.09, resp:18:55:20.53, diff:+0.44
probe:18:55:25.09, resp:18:55:25.53, diff:+0.44
probe:18:55:30.09, resp:18:55:30.54, diff:+0.45
probe:18:55:35.09, resp:18:55:35.55, diff:+0.46
probe:18:55:40.09, resp:18:55:40.55, diff:+0.46
probe:18:55:45.09, resp:18:55:45.56, diff:+0.47
probe:18:55:50.09, resp:18:55:50.57, diff:+0.48
probe:18:55:55.09, resp:18:55:55.57, diff:+0.48
probe:18:56:00.09, resp:18:56:00.58, diff:+0.49
probe:18:56:05.09, resp:18:56:05.59, diff:+0.50
probe:18:56:10.09, resp:18:56:10.59, diff:+0.50
probe:18:56:15.09, resp:18:56:15.60, diff:+0.51
probe:18:56:20.09, resp:18:56:20.61, diff:+0.52
probe:18:56:25.09, resp:18:56:25.61, diff:+0.52
probe:18:56:30.09, resp:18:56:30.63, diff:+0.53
probe:18:56:35.09, resp:18:56:35.64, diff:+0.54
probe:18:56:40.09, resp:18:56:40.64, diff:+0.54
probe:18:56:45.09, resp:18:56:45.65, diff:+0.55
probe:18:56:50.09, resp:18:56:50.66, diff:+0.56
probe:18:56:55.09, resp:18:56:55.66, diff:+0.56
probe:18:57:00.09, resp:18:57:00.67, diff:+0.57
probe:18:57:05.09, resp:18:57:05.68, diff:+0.58
probe:18:57:10.09, resp:18:57:10.68, diff:+0.58
probe:18:57:15.09, resp:18:57:15.69, diff:+0.59
probe:18:57:20.09, resp:18:57:20.70, diff:+0.60
probe:18:57:25.09, resp:18:57:25.70, diff:+0.60
probe:18:57:30.09, resp:18:57:30.71, diff:+0.61
probe:18:57:35.09, resp:18:57:35.72, diff:+0.62
probe:18:57:40.09, resp:18:57:40.72, diff:+0.62
probe:18:57:45.09, resp:18:57:45.73, diff:+0.63
probe:18:57:50.09, resp:18:57:50.74, diff:+0.64
probe:18:57:55.09, resp:18:57:55.74, diff:+0.64
probe:18:58:00.09, resp:18:58:00.75, diff:+0.65
probe:18:58:05.09, resp:18:58:05.75, diff:+0.66
probe:18:58:10.09, resp:18:58:10.76, diff:+0.67
probe:18:58:15.09, resp:18:58:15.76, diff:+0.67
probe:18:58:20.09, resp:18:58:20.77, diff:+0.68
probe:18:58:25.09, resp:18:58:25.77, diff:+0.68
probe:18:58:30.09, resp:18:58:30.78, diff:+0.69
probe:18:58:35.09, resp:18:58:35.79, diff:+0.70
probe:18:58:40.09, resp:18:58:40.80, diff:+0.71
probe:18:58:45.09, resp:18:58:45.80, diff:+0.71
probe:18:58:50.09, resp:18:58:50.81, diff:+0.72
probe:18:58:55.09, resp:18:58:55.82, diff:+0.73
probe:18:59:00.09, resp:18:59:00.82, diff:+0.73
probe:18:59:05.09, resp:18:59:05.83, diff:+0.74
probe:18:59:10.09, resp:18:59:10.83, diff:+0.74
probe:18:59:15.09, resp:18:59:15.84, diff:+0.75
probe:18:59:20.09, resp:18:59:20.85, diff:+0.76
probe:18:59:25.09, resp:18:59:25.85, diff:+0.76
probe:18:59:30.09, resp:18:59:30.86, diff:+0.77
probe:18:59:35.09, resp:18:59:35.88, diff:+0.78
probe:18:59:40.09, resp:18:59:40.88, diff:+0.78
probe:18:59:45.09, resp:18:59:45.89, diff:+0.79
probe:18:59:50.09, resp:18:59:50.89, diff:+0.79
probe:18:59:55.09, resp:18:59:55.90, diff:+0.80
probe:19:00:00.09, resp:19:00:00.90, diff:+0.80
probe:19:00:05.09, resp:19:00:05.88, diff:+0.78
probe:19:00:10.09, resp:19:00:10.85, diff:+0.76
probe:19:00:15.09, resp:19:00:15.83, diff:+0.74
probe:19:00:20.09, resp:19:00:20.83, diff:+0.74
probe:19:00:25.09, resp:19:00:25.83, diff:+0.74
probe:19:00:30.09, resp:19:00:30.84, diff:+0.75
probe:19:00:35.09, resp:19:00:35.84, diff:+0.75
probe:19:00:40.09, resp:19:00:40.84, diff:+0.75
probe:19:00:45.09, resp:19:00:45.84, diff:+0.75
probe:19:00:50.09, resp:19:00:50.84, diff:+0.75
probe:19:00:55.09, resp:19:00:55.84, diff:+0.75
probe:19:01:00.09, resp:19:01:00.84, diff:+0.75
probe:19:01:05.09, resp:19:01:05.84, diff:+0.75
probe:19:01:10.09, resp:19:01:10.84, diff:+0.75
probe:19:01:15.09, resp:19:01:15.85, diff:+0.76
probe:19:01:20.09, resp:19:01:20.85, diff:+0.76
probe:19:01:25.09, resp:19:01:25.85, diff:+0.76
probe:19:01:30.09, resp:19:01:30.85, diff:+0.76
probe:19:01:35.09, resp:19:01:35.85, diff:+0.76
probe:19:01:40.09, resp:19:01:40.86, diff:+0.77
probe:19:01:45.09, resp:19:01:45.86, diff:+0.77
probe:19:01:50.09, resp:19:01:50.86, diff:+0.77
probe:19:01:55.09, resp:19:01:55.86, diff:+0.77
probe:19:02:00.09, resp:19:02:00.86, diff:+0.77
