probe:18:45:10.09, resp:18:45:11.19, diff:+1.09
probe:18:45:15.09, resp:18:45:16.19, diff:+1.09
probe:18:45:20.09, resp:18:45:21.20, diff:+1.10
probe:18:45:25.09, resp:18:45:26.20, diff:+1.10
probe:18:45:30.09, resp:18:45:31.21, diff:+1.11
probe:18:45:35.09, resp:18:45:36.21, diff:+1.11
probe:18:45:40.09, resp:18:45:41.21, diff:+1.11
probe:18:45:45.09, resp:18:45:46.22, diff:+1.12
probe:18:45:50.09, resp:18:45:51.22, diff:+1.12
probe:18:45:55.09, resp:18:45:56.23, diff:+1.13
probe:18:46:00.09, resp:18:46:01.23, diff:+1.13
probe:18:46:05.09, resp:18:46:06.23, diff:+1.13
probe:18:46:10.09, resp:18:46:11.24, diff:+1.14
probe:18:46:15.09, resp:18:46:16.24, diff:+1.14
probe:18:46:20.09, resp:18:46:21.25, diff:+1.15
probe:18:46:25.09, resp:18:46:26.25, diff:+1.15
probe:18:46:30.09, resp:18:46:31.25, diff:+1.16
probe:18:46:35.09, resp:18:46:36.25, diff:+1.16
probe:18:46:40.09, resp:18:46:41.25, diff:+1.16
probe:18:46:45.09, resp:18:46:46.26, diff:+1.17
probe:18:46:50.09, resp:18:46:51.26, diff:+1.17
probe:18:46:55.09, resp:18:46:56.27, diff:+1.18
probe:18:47:00.09, resp:18:47:01.27, diff:+1.18
probe:18:47:05.09, resp:18:47:06.27, diff:+1.18
probe:18:47:10.09, resp:18:47:11.28, diff:+1.19
probe:18:47:15.09, resp:18:47:16.28, diff:+1.19
probe:18:47:20.09, resp:18:47:21.29, diff:+1.20
probe:18:47:25.09, resp:18:47:26.29, diff:+1.20
probe:18:47:30.09, resp:18:47:31.30, diff:+1.21
probe:18:47:35.09, resp:18:47:36.30, diff:+1.21
probe:18:47:40.09, resp:18:47:41.30, diff:+1.21
probe:18:47:45.09, resp:18:47:46.31, diff:+1.22
probe:18:47:50.09, resp:18:47:51.31, diff:+1.22
probe:18:47:55.09, resp:18:47:56.31, diff:+1.22
probe:18:48:00.09, resp:18:48:01.32, diff:+1.23
probe:18:48:05.09, resp:18:48:06.32, diff:+1.23
probe:18:48:10.09, resp:18:48:11.33, diff:+1.24
probe:18:48:15.09, resp:18:48:16.33, diff:+1.24
probe:18:48:20.09, resp:18:48:21.34, diff:+1.25
probe:18:48:25.09, resp:18:48:26.34, diff:+1.25
probe:18:48:30.09, resp:18:48:31.34, diff:+1.25
probe:18:48:35.09, resp:18:48:36.35, diff:+1.26
probe:18:48:40.09, resp:18:48:41.35, diff:+1.26
probe:18:48:45.09, resp:18:48:46.35, diff:+1.26
probe:18:48:50.09, resp:18:48:51.36, diff:+1.27
probe:18:48:55.09, resp:18:48:56.36, diff:+1.27
probe:18:49:00.09, resp:18:49:01.38, diff:+1.28
probe:18:49:05.09, resp:18:49:06.38, diff:+1.28
probe:18:49:10.09, resp:18:49:11.38, diff:+1.28
probe:18:49:15.09, resp:18:49:16.39, diff:+1.29
probe:18:49:20.09, resp:18:49:21.39, diff:+1.29
probe:18:49:25.09, resp:18:49:26.40, diff:+1.30
probe:18:49:30.09, resp:18:49:31.40, diff:+1.30
probe:18:49:35.09, resp:18:49:36.41, diff:+1.31
probe:18:49:40.09, resp:18:49:41.41, diff:+1.31
probe:18:49:45.09, resp:18:49:46.41, diff:+1.31
probe:18:49:50.09, resp:18:49:51.42, diff:+1.32
probe:18:49:55.09, resp:18:49:56.42, diff:+1.32
probe:18:50:00.09, resp:18:50:01.43, diff:+1.33
probe:18:50:05.09, resp:18:50:06.43, diff:+1.33
probe:18:50:10.09, resp:18:50:11.43, diff:+1.33
probe:18:50:15.09, resp:18:50:16.44, diff:+1.34
probe:18:50:20.09, resp:18:50:21.44, diff:+1.34
probe:18:50:25.09, resp:18:50:26.45, diff:+1.35
probe:18:50:30.09, resp:18:50:31.45, diff:+1.35
probe:18:50:35.09, resp:18:50:36.45, diff:+1.35
probe:18:50:40.09, resp:18:50:41.46, diff:+1.36
probe:18:50:45.09, resp:18:50:46.46, diff:+1.36
probe:18:50:50.09, resp:18:50:51.47, diff:+1.37
probe:18:50:55.09, resp:18:50:56.47, diff:+1.37
probe:18:51:00.09, resp:18:51:01.47, diff:+1.37
probe:18:51:05.09, resp:18:51:06.48, diff:+1.38
probe:18:51:10.09, resp:18:51:11.49, diff:+1.39
probe:18:51:15.09, resp:18:51:16.49, diff:+1.39
probe:18:51:20.09, resp:18:51:21.49, diff:+1.39
probe:18:51:25.09, resp:18:51:26.50, diff:+1.40
probe:18:51:30.09, resp:18:51:31.50, diff:+1.40
probe:18:51:35.09, resp:18:51:36.50, diff:+1.41
probe:18:51:40.09, resp:18:51:41.50, diff:+1.41
probe:18:51:45.09, resp:18:51:46.50, diff:+1.41
probe:18:51:50.09, resp:18:51:51.51, diff:+1.42
probe:18:51:55.09, resp:18:51:56.51, diff:+1.42
probe:18:52:00.09, resp:18:52:01.52, diff:+1.43
probe:18:52:05.09, resp:18:52:06.52, diff:+1.43
probe:18:52:10.09, resp:18:52:11.53, diff:+1.44
probe:18:52:15.09, resp:18:52:16.53, diff:+1.44
probe:18:52:20.09, resp:18:52:21.53, diff:+1.44
probe:18:52:25.09, resp:18:52:26.54, diff:+1.45
probe:18:52:30.09, resp:18:52:31.54, diff:+1.45
probe:18:52:35.09, resp:18:52:36.54, diff:+1.45
probe:18:52:40.09, resp:18:52:41.55, diff:+1.46
probe:18:52:45.09, resp:18:52:46.55, diff:+1.46
probe:18:52:50.09, resp:18:52:51.56, diff:+1.47
probe:18:52:55.09, resp:18:52:56.56, diff:+1.47
probe:18:53:00.09, resp:18:53:01.57, diff:+1.48
probe:18:53:05.09, resp:18:53:06.57, diff:+1.48
probe:18:53:10.09, resp:18:53:11.57, diff:+1.48
probe:18:53:15.09, resp:18:53:16.58, diff:+1.49
probe:18:53:20.09, resp:18:53:21.58, diff:+1.49
probe:18:53:25.09, resp:18:53:26.59, diff:+1.50
probe:18:53:30.09, resp:18:53:31.59, diff:+1.50
probe:18:53:35.09, resp:18:53:36.59, diff:+1.50
probe:18:53:40.09, resp:18:53:41.60, diff:+1.51
probe:18:53:45.09, resp:18:53:46.60, diff:+1.51
probe:18:53:50.09, resp:18:53:51.61, diff:+1.52
probe:18:53:55.09, resp:18:53:56.61, diff:+1.52
probe:18:54:00.09, resp:18:54:01.63, diff:+1.53
probe:18:54:05.09, resp:18:54:06.63, diff:+1.53
probe:18:54:10.09, resp:18:54:11.63, diff:+1.53
probe:18:54:15.09, resp:18:54:16.64, diff:+1.54
probe:18:54:20.09, resp:18:54:21.64, diff:+1.54
probe:18:54:25.09, resp:18:54:26.64, diff:+1.54
